Date,C,H,L,O,V
2014-04-14,3.0383999347686768,3.0480000972747803,3.001699924468994,3.001699924468994,49017
2014-04-15,3.042099952697754,3.0513999462127686,3.009999990463257,3.0280001163482666,48448
2014-04-16,3.0404999256134033,3.0578999519348145,3.0250000953674316,3.034899950027466,46239
2014-04-17,3.0546998977661133,3.065999984741211,3.02810001373291,3.0446999073028564,47535
2014-04-21,3.086899995803833,3.0896999835968018,3.0350000858306885,3.059999942779541,39015
2014-04-22,3.0952000617980957,3.0999999046325684,3.0678000450134277,3.087399959564209,49298
2014-04-23,3.0934998989105225,3.101599931716919,3.0606000423431396,3.0987000465393066,46700
2014-04-24,3.0894999504089355,3.112799882888794,3.0834999084472656,3.0964999198913574,53951
2014-04-25,3.0750999450683594,3.0908000469207764,3.0625,3.0861001014709473,33269
2014-04-28,3.040299892425537,3.087399959564209,3.0255000591278076,3.0739998817443848,23730
2014-04-29,3.0634000301361084,3.0703001022338867,3.040299892425537,3.040299892425537,26911
2014-04-30,3.007699966430664,3.060499906539917,2.9923999309539795,3.0589001178741455,72113
2014-05-01,2.938800096511841,2.9651999473571777,2.9212000370025635,2.9646999835968018,73849
2014-05-02,2.944499969482422,2.958400011062622,2.9309000968933105,2.9310998916625977,62682
2014-05-05,2.9091999530792236,2.9509999752044678,2.890399932861328,2.947200059890747,58793
2014-05-06,2.8857998847961426,2.9249000549316406,2.8773999214172363,2.9056999683380127,71448
2014-05-07,2.9182000160217285,2.928800106048584,2.871799945831299,2.879499912261963,73260
2014-05-08,2.9049999713897705,2.924999952316284,2.891900062561035,2.924999952316284,72955
2014-05-09,2.8959999084472656,2.936199903488159,2.890000104904175,2.9040000438690186,51814
2014-05-12,2.914599895477295,2.9293999671936035,2.8907999992370605,2.8933000564575195,50300
2014-05-13,2.9302000999450684,2.941499948501587,2.911799907684326,2.9179999828338623,55746
2014-05-14,2.9693000316619873,2.975600004196167,2.930299997329712,2.940999984741211,72465
2014-05-15,2.964200019836426,2.9809000492095947,2.940200090408325,2.969399929046631,47042
2014-05-16,2.9735000133514404,2.986599922180176,2.95740008354187,2.964099884033203,48633
2014-05-19,2.964600086212158,2.9993999004364014,2.961699962615967,2.972899913787842,37233
2014-05-20,2.9639999866485596,2.977299928665161,2.946199893951416,2.9665000438690186,45009
2014-05-21,2.9941999912261963,2.9951000213623047,2.9519999027252197,2.968600034713745,50722
2014-05-22,3.0058000087738037,3.0195000171661377,2.9892001152038574,2.9941999912261963,42679
2014-05-23,3.0234999656677246,3.02810001373291,3.0023000240325928,3.0071001052856445,39833
2014-05-27,2.9951999187469482,3.024899959564209,2.992300033569336,3.021899938583374,38981
2014-05-28,3.0058999061584473,3.0160000324249268,2.9811999797821045,2.996999979019165,37540
2014-05-29,3.0136001110076904,3.0309998989105225,3.0039000511169434,3.008699893951416,32136
2014-05-30,2.996500015258789,3.017699956893921,2.984999895095825,3.0116000175476074,62777
2014-06-02,2.949899911880493,2.9862000942230225,2.938499927520752,2.9753000736236572,54748
2014-06-03,2.948699951171875,2.9583001136779785,2.934999942779541,2.9530999660491943,51330
2014-06-04,2.9351999759674072,2.963399887084961,2.932499885559082,2.9463000297546387,53716
2014-06-05,2.9563000202178955,2.961199998855591,2.9202001094818115,2.933500051498413,42914
2014-06-06,2.938999891281128,2.967900037765503,2.9374001026153564,2.959399938583374,56039
2014-06-09,2.984800100326538,2.986999988555908,2.939199924468994,2.944999933242798,57674
2014-06-10,2.9744999408721924,2.9997000694274902,2.9544999599456787,2.986799955368042,55016
2014-06-11,3.0007998943328857,3.0055999755859375,2.9760000705718994,2.978100061416626,58609
2014-06-12,3.083699941635132,3.0855000019073486,3.0002999305725098,3.0007998943328857,63623
2014-06-13,3.0576999187469482,3.112299919128418,3.0478999614715576,3.0834999084472656,52627
2014-06-16,3.0717999935150146,3.0810999870300293,3.052299976348877,3.061300039291382,40257
2014-06-17,3.091099977493286,3.0977001190185547,3.0585999488830566,3.0745999813079834,35201
2014-06-18,3.0982000827789307,3.1064000129699707,3.0820999145507812,3.0855000019073486,39587
2014-06-19,3.125499963760376,3.137399911880493,3.0950000286102295,3.0950000286102295,35191
2014-06-20,3.127700090408325,3.1308000087738037,3.1147000789642334,3.1219000816345215,33288
2014-06-23,3.107599973678589,3.1519999504089355,3.1024999618530273,3.1294000148773193,31448
2014-06-24,3.1257998943328857,3.130500078201294,3.0985000133514404,3.1084001064300537,38117
2014-06-25,3.0927000045776367,3.129300117492676,3.082900047302246,3.121000051498413,37096
2014-06-26,3.085599899291992,3.1026999950408936,3.078000068664551,3.0968000888824463,28060
2014-06-27,3.09879994392395,3.108599901199341,3.081700086593628,3.0866000652313232,31258
2014-06-30,3.0769999027252197,3.093100070953369,3.0625,3.0920000076293945,51751
2014-07-01,3.036600112915039,3.0539000034332275,3.023099899291992,3.0441999435424805,53035
2014-07-02,3.0239999294281006,3.0416998863220215,3.010699987411499,3.0343000888824463,64539
2014-07-03,3.0197999477386475,3.02810001373291,3.010499954223633,3.018199920654297,47293
2014-07-07,2.989000082015991,3.024899959564209,2.9807000160217285,3.015500068664551,61482
2014-07-08,2.972899913787842,2.9909000396728516,2.961899995803833,2.9839000701904297,53414
2014-07-09,2.937700033187866,2.9709999561309814,2.934999942779541,2.9709999561309814,60394
2014-07-10,2.9576001167297363,2.9621999263763428,2.927299976348877,2.93530011177063,59287
2014-07-11,2.9084999561309814,2.963200092315674,2.900700092315674,2.9621999263763428,56173
2014-07-14,2.925100088119507,2.930500030517578,2.9038000106811523,2.9084999561309814,43847
2014-07-15,2.8986001014709473,2.9286000728607178,2.8659000396728516,2.927500009536743,51641
2014-07-16,2.882499933242798,2.9186999797821045,2.880500078201294,2.9026999473571777,51355
2014-07-17,2.881700038909912,2.89490008354187,2.8624000549316406,2.882999897003174,51612
2014-07-18,2.860300064086914,2.89490008354187,2.8552000522613525,2.89490008354187,34843
2014-07-21,2.891400098800659,2.901400089263916,2.8580000400543213,2.8580000400543213,36592
2014-07-22,2.88070011138916,2.918100118637085,2.860300064086914,2.8928000926971436,36770
2014-07-23,2.860100030899048,2.8810999393463135,2.8454999923706055,2.862600088119507,41236
2014-07-24,2.8368000984191895,2.871299982070923,2.827399969100952,2.8698999881744385,35538
2014-07-25,2.865299940109253,2.872299909591675,2.8326001167297363,2.842600107192993,30215
2014-07-28,2.8492000102996826,2.869999885559082,2.8399999141693115,2.8654000759124756,27689
2014-07-29,2.8708999156951904,2.877700090408325,2.8496999740600586,2.8517000675201416,21393
2014-07-30,2.8433001041412354,2.881999969482422,2.8255999088287354,2.861799955368042,22247
2014-07-31,2.8310999870300293,2.8424999713897705,2.8106000423431396,2.8268001079559326,55050
2014-08-01,2.74429988861084,2.795300006866455,2.7356998920440674,2.7883999347686768,59760
2014-08-04,2.724900007247925,2.7534000873565674,2.712599992752075,2.738100051879883,50805
2014-08-05,2.7155001163482666,2.7355000972747803,2.6982998847961426,2.72760009765625,58959
2014-08-06,2.7397000789642334,2.7709999084472656,2.7279999256134033,2.740000009536743,66486
2014-08-07,2.7723000049591064,2.780600070953369,2.7332000732421875,2.7418999671936035,64128
2014-08-08,2.753700017929077,2.7964999675750732,2.743799924850464,2.772700071334839,54300
2014-08-11,2.752500057220459,2.777400016784668,2.7414000034332275,2.7416000366210938,40334
2014-08-12,2.734499931335449,2.756500005722046,2.7214999198913574,2.7546000480651855,50846
2014-08-13,2.7544000148773193,2.7578999996185303,2.702500104904175,2.728300094604492,57432
2014-08-14,2.666599988937378,2.7583999633789062,2.6637001037597656,2.753200054168701,57528
2014-08-15,2.6986000537872314,2.7116000652313232,2.6607000827789307,2.6607000827789307,45489
2014-08-18,2.6559998989105225,2.6960999965667725,2.637399911880493,2.6905999183654785,46355
2014-08-19,2.6953999996185303,2.7063000202178955,2.6607000827789307,2.6607000827789307,41801
2014-08-20,2.712599992752075,2.7348999977111816,2.6928999423980713,2.7044999599456787,39594
2014-08-21,2.747499942779541,2.757499933242798,2.700000047683716,2.7149999141693115,32480
2014-08-22,2.7383999824523926,2.75600004196167,2.7227001190185547,2.75600004196167,29259
2014-08-25,2.7497000694274902,2.761199951171875,2.725100040435791,2.725100040435791,24860
2014-08-26,2.7630999088287354,2.7780001163482666,2.7467000484466553,2.751499891281128,31315
2014-08-27,2.7458999156951904,2.7818000316619873,2.72979998588562,2.7704999446868896,28385
2014-08-28,2.752700090408325,2.7632999420166016,2.736299991607666,2.7432000637054443,21506
2014-08-29,2.7827000617980957,2.7899999618530273,2.753000020980835,2.756500005722046,52211
2014-09-02,2.5429999828338623,2.631999969482422,2.539099931716919,2.6198999881744385,58796
2014-09-03,2.619999885559082,2.634700059890747,2.5445001125335693,2.5445001125335693,75309
2014-09-04,2.599900007247925,2.6345999240875244,2.5950000286102295,2.6117000579833984,63044
2014-09-05,2.583400011062622,2.626800060272217,2.5604000091552734,2.6029000282287598,62771
2014-09-08,2.5618999004364014,2.5889999866485596,2.537100076675415,2.5850000381469727,62419
2014-09-09,2.5483999252319336,2.5715999603271484,2.5420000553131104,2.5606000423431396,48142
2014-09-10,2.5264999866485596,2.5580999851226807,2.5090999603271484,2.5429000854492188,59185
2014-09-11,2.5241000652313232,2.538599967956543,2.496799945831299,2.530900001525879,50698
2014-09-12,2.5188000202178955,2.5432000160217285,2.5069000720977783,2.5285000801086426,58624
2014-09-15,2.5308001041412354,2.5387001037597656,2.494999885559082,2.5165998935699463,49439
2014-09-16,2.558799982070923,2.5638999938964844,2.5638999938964844,2.5638999938964844,47887
2014-09-17,2.569200038909912,2.57450008392334,2.548099994659424,2.5638999938964844,48616
